id,year,team,lg,g,ab,r,h,hr,sb,bb,so,avg
player00086,1988,CHC,AL,131,376,147,179,26,78,88,184,0.476
player00087,1986,HOU,AL,106,307,5,91,12,29,44,91,0.296
player00088,1990,CHC,NL,76,116,128,30,59,0,37,172,0.259
player00089,1995,NYY,AL,4,338,134,162,9,71,66,118,0.479
player00090,1992,LAD,AL,55,324,95,147,56,21,87,1,0.454
player00091,1994,NYY,NL,20,4,54,18,13,68,66,99,4.5
player00092,1992,HOU,AL,19,420,123,12,12,16,44,52,0.029
player00093,1994,HOU,NL,136,70,108,3,19,31,11,112,0.043
player00094,1993,BOS,AL,27,103,104,5,23,72,71,108,0.049
player00095,1997,NYY,NL,136,55,14,171,15,52,49,6,3.109
player00096,1987,LAD,NL,18,306,94,106,25,50,95,48,0.346
player00097,1986,BOS,AL,29,495,28,105,4,76,85,166,0.212
player00098,2001,BOS,AL,46,169,81,182,58,14,13,130,1.077
player00099,1990,ATL,AL,131,140,33,68,29,62,79,179,0.486
player00100,1988,CHC,NL,137,33,92,182,45,14,22,53,5.515
player00101,1997,BOS,AL,138,355,36,171,21,15,77,139,0.482
player00102,1993,BOS,NL,84,417,94,183,38,1,79,7,0.439
player00103,1988,HOU,AL,1,52,146,94,44,25,33,71,1.808
player00104,1986,LAD,NL,132,2,70,127,29,52,42,49,63.5
player00105,1988,BOS,AL,101,329,5,60,59,32,81,10,0.182
player00106,1990,LAD,NL,96,148,98,94,24,38,34,173,0.635
player00107,2000,CHC,NL,18,505,54,169,17,45,88,92,0.335
player00108,1999,HOU,NL,78,300,38,120,35,78,52,193,0.4
player00109,1988,ATL,NL,45,132,24,105,8,67,13,161,0.795
player00110,1986,ATL,NL,112,258,97,29,17,68,99,91,0.112
player00111,1990,CHC,NL,15,275,82,183,22,7,66,185,0.665
player00112,1999,CHC,AL,4,60,3,11,11,21,65,148,0.183
player00113,1992,HOU,NL,147,146,32,37,10,72,54,9,0.253
player00114,1994,HOU,AL,88,495,65,147,0,15,41,9,0.297
player00115,2000,NYY,AL,94,560,129,16,0,32,85,93,0.029
player00116,2000,BOS,AL,77,415,141,134,4,58,88,132,0.323
player00117,1995,BOS,AL,139,130,10,7,26,52,25,24,0.054
player00118,1998,BOS,AL,28,227,33,156,6,4,71,170,0.687
player00119,2004,LAD,AL,75,93,149,126,55,75,26,168,1.355
player00120,1992,NYY,AL,54,571,41,147,17,55,88,24,0.257
player00121,2002,BOS,NL,65,97,8,31,46,21,37,114,0.32
player00122,2005,LAD,AL,47,186,87,43,18,2,92,3,0.231
player00123,1989,LAD,AL,118,592,28,73,37,61,18,87,0.123
player00124,1990,ATL,NL,4,553,59,145,3,53,57,12,0.262
player00125,1992,LAD,NL,34,424,90,153,29,2,5,173,0.361
player00126,1998,CHC,AL,76,584,59,183,40,70,43,62,0.313
player00127,2000,HOU,NL,61,538,125,188,4,11,0,195,0.349
player00128,1996,LAD,AL,101,592,75,163,38,74,96,162,0.275
player00129,1989,CHC,NL,93,173,135,139,40,64,29,84,0.803
player00130,1998,CHC,AL,102,526,105,185,18,68,79,194,0.352
player00131,1992,ATL,NL,113,484,104,72,48,63,81,19,0.149
player00132,2004,ATL,AL,83,168,148,66,3,22,78,117,0.393
player00133,1987,LAD,NL,148,584,46,146,4,51,50,173,0.25
player00134,1995,ATL,AL,131,578,8,38,17,7,62,54,0.066
player00135,1998,ATL,NL,40,429,77,119,40,76,28,62,0.277
player00136,1991,HOU,NL,151,131,128,126,36,45,79,125,0.962
player00137,1997,BOS,NL,69,123,54,101,52,12,15,145,0.821
player00138,1997,LAD,NL,32,173,30,185,27,23,84,32,1.069
player00139,2005,LAD,NL,24,386,79,90,16,42,45,61,0.233
player00140,1996,LAD,AL,113,140,90,106,15,52,23,17,0.757
player00141,1992,ATL,AL,115,439,138,137,16,74,98,158,0.312
player00142,1986,HOU,AL,35,371,65,105,46,2,42,27,0.283
player00143,1986,ATL,NL,32,286,30,145,57,27,78,134,0.507
player00144,2005,CHC,NL,45,90,59,100,26,38,35,99,1.111
player00145,1998,NYY,NL,108,208,61,107,26,18,14,170,0.514
player00146,1994,NYY,AL,86,546,130,113,0,78,78,163,0.207
player00147,1988,NYY,AL,34,573,111,124,44,5,45,51,0.216
player00148,1992,BOS,AL,144,151,67,174,54,29,37,163,1.152
player00149,1991,ATL,NL,11,576,29,50,26,58,20,168,0.087
player00150,1993,CHC,NL,147,220,66,38,34,4,0,105,0.173
player00151,1994,CHC,NL,92,299,67,64,36,41,88,148,0.214
player00152,1990,NYY,AL,157,354,76,35,47,59,24,165,0.099
player00153,1986,HOU,NL,54,562,13,196,49,1,50,65,0.349
player00154,2004,BOS,NL,76,191,137,132,33,54,17,40,0.691
player00155,1995,BOS,NL,160,409,21,130,0,22,3,52,0.318
player00156,1997,NYY,AL,100,356,60,167,26,55,44,33,0.469
player00157,2000,NYY,AL,116,243,36,50,55,4,22,67,0.206
player00158,1994,ATL,AL,124,57,20,118,23,42,24,7,2.07
player00159,2005,HOU,NL,83,25,130,16,20,59,29,158,0.64
player00160,2002,BOS,NL,56,485,146,10,39,13,94,81,0.021
player00161,2002,CHC,AL,63,116,31,45,17,33,85,186,0.388
player00162,2005,NYY,NL,132,241,23,62,4,25,77,82,0.257
player00163,1997,ATL,NL,139,229,73,163,56,42,45,112,0.712
player00164,1992,CHC,NL,131,92,95,146,40,40,27,84,1.587
player00165,1987,BOS,AL,155,220,57,40,17,9,37,89,0.182
player00166,1988,NYY,AL,111,226,134,129,42,36,33,148,0.571
player00167,2002,HOU,AL,146,568,45,26,46,19,80,111,0.046
player00168,1990,NYY,NL,158,581,113,27,44,69,75,3,0.046
player00169,2002,HOU,AL,70,584,125,93,42,79,57,8,0.159
player00170,2002,ATL,AL,34,125,142,60,6,39,43,178,0.48
player00171,2002,ATL,AL,119,289,73,125,17,1,35,183,0.433
player00172,1987,BOS,AL,76,498,86,164,24,10,32,185,0.329
player00173,1987,HOU,AL,42,471,4,34,31,33,66,67,0.072
player00174,1990,NYY,NL,23,521,21,18,0,39,93,190,0.035
player00175,1986,ATL,NL,40,21,27,58,45,13,56,41,2.762
player00176,1986,NYY,NL,15,156,18,52,9,12,88,102,0.333
player00177,2004,BOS,NL,115,261,112,66,31,41,8,34,0.253
player00178,1987,HOU,NL,57,109,13,145,8,12,1,53,1.33
player00179,1997,NYY,NL,111,500,134,84,19,7,13,15,0.168
player00180,1991,CHC,AL,142,365,149,34,24,77,45,80,0.093
player00181,1989,NYY,NL,140,12,45,103,27,26,23,198,8.583
player00182,1996,LAD,NL,107,62,84,177,54,62,40,66,2.855
player00183,2002,LAD,NL,117,23,140,118,15,59,28,35,5.13
player00184,1991,BOS,NL,35,352,21,167,27,39,86,35,0.474
player00185,1990,BOS,NL,153,339,137,102,19,29,47,53,0.301
player00186,2005,BOS,NL,78,18,109,113,54,68,76,184,6.278
player00187,1987,CHC,NL,2,87,43,56,26,59,25,36,0.644
player00188,1991,HOU,NL,18,580,23,41,25,78,85,56,0.071
player00189,1996,CHC,AL,35,149,71,104,25,47,22,78,0.698
player00190,2001,NYY,NL,9,91,112,34,25,54,94,47,0.374
player00191,2001,ATL,NL,139,144,49,79,21,15,29,37,0.549
player00192,1986,HOU,NL,67,174,146,82,37,0,59,80,0.471
player00193,1994,LAD,NL,69,390,57,66,6,16,89,181,0.169
player00194,1991,LAD,NL,105,144,96,93,3,71,60,6,0.646
player00195,2001,LAD,AL,38,459,92,187,35,73,55,3,0.407
player00196,1988,NYY,AL,70,134,95,151,51,18,4,109,1.127
player00197,2005,NYY,AL,81,540,71,117,56,58,5,122,0.217
player00198,1989,BOS,AL,66,236,95,0,23,19,64,9,0.0
player00199,2004,ATL,AL,41,591,139,177,38,10,19,78,0.299
player00200,1988,BOS,NL,24,341,85,73,29,31,26,17,0.214
player00201,2004,NYY,AL,5,586,147,94,36,75,32,189,0.16
player00202,2005,CHC,AL,21,40,25,125,36,12,84,150,3.125
player00203,1992,BOS,AL,6,245,80,54,8,21,74,189,0.22
player00204,2005,HOU,AL,132,458,105,183,22,51,64,142,0.4
player00205,1994,NYY,NL,9,569,81,103,28,46,13,182,0.181
player00206,1986,NYY,NL,69,203,58,149,52,50,82,118,0.734
player00207,1993,CHC,AL,68,551,130,86,45,55,2,155,0.156
player00208,1992,CHC,NL,126,472,17,21,42,28,14,76,0.044
player00209,2003,CHC,NL,137,57,83,106,4,35,28,121,1.86
player00210,1993,ATL,NL,146,188,115,192,32,68,53,163,1.021
player00211,1986,HOU,NL,59,588,148,196,39,24,47,25,0.333
player00212,1996,NYY,AL,80,47,41,25,59,67,64,12,0.532
player00213,2003,CHC,NL,29,89,61,188,34,12,17,133,2.112
player00214,1995,ATL,NL,51,522,29,127,12,66,93,52,0.243
player00215,1988,LAD,AL,36,567,60,180,22,72,9,88,0.317
player00216,1992,HOU,AL,76,487,35,111,46,45,62,28,0.228
player00217,2001,LAD,NL,105,544,54,161,48,39,90,39,0.296
player00218,2001,LAD,AL,45,179,3,77,25,67,2,108,0.43
player00219,2005,NYY,AL,101,115,14,127,33,71,79,147,1.104
player00220,2002,ATL,AL,104,27,111,139,45,73,9,59,5.148
player00221,1987,ATL,AL,6,114,95,78,37,38,71,100,0.684
player00222,1986,LAD,NL,36,219,96,2,26,73,42,143,0.009
player00223,2001,HOU,AL,144,178,56,72,53,27,91,153,0.404
player00224,1997,BOS,NL,22,393,62,9,37,0,55,182,0.023
player00225,1990,LAD,AL,69,593,76,68,54,76,38,134,0.115
player00226,1990,NYY,NL,69,65,63,129,49,41,60,63,1.985
player00227,1994,LAD,AL,63,21,144,69,8,6,92,125,3.286
player00228,1994,HOU,AL,75,335,52,133,49,12,40,18,0.397
player00229,1988,HOU,AL,107,100,69,68,57,10,12,109,0.68
player00230,2004,LAD,NL,19,351,126,173,16,6,89,33,0.493
player00231,2001,ATL,NL,102,175,49,91,56,57,56,188,0.52
player00232,2001,LAD,AL,126,271,67,82,56,78,3,153,0.303
player00233,1988,CHC,AL,127,48,14,23,38,52,33,151,0.479
player00234,2005,CHC,AL,146,353,71,164,21,24,17,95,0.465
player00235,1986,BOS,NL,114,574,107,143,13,9,21,39,0.249
player00236,2005,NYY,NL,73,311,7,179,11,75,74,170,0.576
player00237,1996,NYY,NL,114,353,113,94,16,0,72,12,0.266
player00238,2002,ATL,NL,145,36,24,115,12,61,97,66,3.194
player00239,1993,NYY,AL,41,348,24,109,41,41,40,13,0.313
player00240,1989,BOS,NL,161,353,17,177,25,37,81,6,0.501
player00241,1991,CHC,NL,82,543,72,28,25,49,21,56,0.052
player00242,1993,ATL,AL,152,363,13,54,48,21,40,63,0.149
player00243,2005,HOU,AL,77,585,133,54,32,66,9,51,0.092
player00244,1988,CHC,NL,28,583,102,166,22,59,91,53,0.285
player00245,2001,BOS,NL,110,276,35,184,47,4,61,121,0.667
player00246,1988,ATL,AL,21,202,35,18,22,66,22,10,0.089
player00247,2003,LAD,NL,130,508,145,133,26,37,2,100,0.262
player00248,1999,NYY,AL,6,174,14,177,14,27,70,100,1.017
player00249,2003,BOS,NL,52,210,88,34,13,76,71,190,0.162
player00250,1987,ATL,NL,5,252,15,117,42,17,95,121,0.464
player00251,1988,CHC,NL,43,353,75,170,2,44,60,152,0.482
player00252,2001,ATL,AL,96,317,13,55,27,79,43,43,0.174
player00253,1994,LAD,NL,101,365,46,35,26,16,64,134,0.096
player00254,1989,BOS,AL,114,153,57,14,44,60,59,164,0.092
player00255,1986,ATL,AL,40,295,45,36,40,2,24,40,0.122
player00256,1989,HOU,NL,139,530,15,181,39,78,25,98,0.342
player00257,1986,BOS,NL,142,540,128,106,53,16,34,167,0.196
player00258,1999,BOS,NL,2,364,120,124,59,47,76,136,0.341
player00259,2001,CHC,AL,63,340,26,7,4,3,27,50,0.021
player00260,2005,NYY,NL,119,265,61,12,1,7,74,72,0.045
player00261,1993,HOU,AL,146,174,147,68,38,30,11,64,0.391
player00262,1992,LAD,AL,94,507,54,191,10,32,42,63,0.377
player00263,1988,ATL,NL,79,363,50,178,42,1,91,108,0.49
player00264,2002,NYY,NL,129,250,116,151,23,52,24,87,0.604
player00265,1986,CHC,NL,145,518,68,82,30,3,28,182,0.158
player00266,2001,NYY,NL,54,485,87,66,16,48,53,163,0.136
player00267,1997,BOS,AL,122,196,96,7,20,69,51,64,0.036
player00268,2004,BOS,NL,124,274,100,25,36,32,0,75,0.091
player00269,1999,LAD,AL,66,365,96,45,53,25,39,37,0.123
player00270,1991,HOU,NL,143,544,111,94,5,50,86,141,0.173
player00271,1991,ATL,AL,22,534,37,82,15,25,50,101,0.154
player00272,1998,ATL,AL,20,254,28,174,31,0,24,98,0.685
player00273,2004,CHC,AL,93,85,34,147,39,11,16,138,1.729
player00274,1993,LAD,AL,152,180,19,44,5,39,6,137,0.244
player00275,1987,ATL,NL,43,148,146,156,21,55,57,191,1.054
player00276,1986,HOU,NL,21,337,132,172,58,28,93,112,0.51
player00277,2000,BOS,NL,48,90,24,10,10,16,69,72,0.111
player00278,1986,LAD,NL,66,548,92,0,36,9,94,136,0.0
player00279,1990,NYY,AL,115,48,25,136,7,3,71,177,2.833
player00280,2001,LAD,NL,16,38,109,0,38,1,28,92,0.0
player00281,2004,LAD,AL,21,541,142,196,7,27,43,139,0.362
player00282,1989,HOU,AL,101,554,127,54,17,38,88,166,0.097
player00283,1988,HOU,AL,8,205,44,23,58,5,72,55,0.112
player00284,2002,ATL,AL,110,225,5,119,58,17,51,138,0.529
player00285,2002,CHC,AL,86,437,128,29,22,69,30,106,0.066
player00286,1997,CHC,AL,58,31,72,166,6,31,45,193,5.355
player00287,1999,HOU,AL,5,94,42,39,36,64,51,169,0.415
player00288,1991,ATL,AL,111,432,15,58,37,76,45,43,0.134
player00289,1988,ATL,AL,109,1,13,52,45,67,28,194,52.0
player00290,1994,ATL,AL,30,510,73,84,24,5,79,127,0.165
player00291,1990,HOU,AL,95,302,18,22,28,51,71,110,0.073
player00292,2002,CHC,NL,9,486,50,2,50,23,68,95,0.004
player00293,1999,ATL,AL,95,534,135,141,41,33,99,57,0.264
player00294,1988,HOU,NL,95,389,47,30,58,39,59,39,0.077
player00295,1986,NYY,AL,41,296,139,5,59,72,81,31,0.017
player00296,2005,NYY,AL,51,511,34,128,14,46,2,70,0.25
player00297,1986,BOS,AL,61,583,5,182,38,36,97,162,0.312
player00298,1988,NYY,AL,6,224,98,117,39,44,68,103,0.522
player00299,2003,LAD,AL,119,209,10,17,42,68,71,128,0.081
player00300,1995,BOS,NL,26,111,90,87,2,30,51,165,0.784
player00301,1988,NYY,NL,6,502,25,121,42,74,36,104,0.241
player00302,1993,LAD,AL,53,561,71,69,52,57,75,107,0.123
player00303,1999,NYY,AL,61,330,88,33,56,0,17,134,0.1
player00304,2003,HOU,AL,161,391,82,199,46,51,90,97,0.509
player00305,2000,LAD,NL,94,512,49,144,42,46,70,128,0.281
player00306,1987,ATL,NL,40,450,25,30,50,60,46,77,0.067
player00307,1995,HOU,AL,24,282,14,93,58,65,82,91,0.33
player00308,1987,LAD,AL,92,364,23,123,18,0,81,148,0.338
player00309,2002,HOU,AL,45,188,76,1,14,24,99,116,0.005
player00310,1993,ATL,NL,38,124,56,156,34,58,71,56,1.258
player00311,1986,LAD,AL,157,486,144,143,9,2,28,26,0.294
player00312,1994,LAD,AL,108,310,80,68,13,57,17,154,0.219
player00313,1996,HOU,AL,136,407,128,197,28,43,68,71,0.484
player00314,2001,NYY,NL,64,317,138,81,4,74,60,172,0.256
player00315,1992,LAD,AL,87,146,19,76,18,32,60,49,0.521
player00316,1995,NYY,AL,107,500,30,162,45,73,4,36,0.324
player00317,1988,LAD,AL,51,351,98,185,30,72,40,63,0.527
player00318,2003,CHC,NL,6,357,5,131,57,24,24,76,0.367
player00319,1998,BOS,NL,85,272,98,7,27,4,64,172,0.026
player00320,1992,NYY,AL,160,509,27,32,11,49,74,62,0.063
player00321,1989,NYY,NL,36,11,52,181,41,10,77,83,16.455
player00322,1998,ATL,AL,89,142,115,74,37,56,40,114,0.521
player00323,2005,CHC,NL,99,166,43,134,43,47,50,67,0.807
player00324,1986,ATL,AL,147,268,64,24,52,1,72,78,0.09
player00325,1993,CHC,AL,37,93,108,146,54,20,48,50,1.57
player00326,1999,CHC,AL,17,105,11,185,35,8,46,192,1.762
player00327,2001,HOU,NL,16,312,71,59,18,28,4,196,0.189
player00328,1999,HOU,NL,49,235,109,194,29,24,23,141,0.826
player00329,1997,HOU,NL,94,59,29,105,7,43,69,113,1.78
player00330,2004,LAD,AL,51,408,133,163,30,39,80,36,0.4
player00331,2000,ATL,NL,5,359,101,192,32,71,59,187,0.535
player00332,1987,BOS,AL,97,232,84,102,47,56,74,142,0.44
player00333,1987,CHC,NL,73,100,29,58,1,73,29,70,0.58
player00334,2004,CHC,AL,145,579,124,10,8,61,11,75,0.017
player00335,2002,NYY,AL,140,86,79,45,37,26,14,66,0.523
player00336,2005,LAD,AL,152,107,62,91,38,18,13,50,0.85
player00337,1995,BOS,AL,56,453,7,70,1,65,7,45,0.155
player00338,1991,HOU,NL,122,376,127,77,25,57,47,138,0.205
player00339,2000,CHC,AL,126,386,32,84,33,44,12,83,0.218
player00340,1996,NYY,NL,79,62,42,5,30,30,27,118,0.081
player00341,1990,ATL,AL,16,229,75,134,21,14,83,177,0.585
player00342,1986,CHC,AL,126,374,42,188,12,62,48,183,0.503
player00343,1993,NYY,AL,87,237,44,59,55,47,25,157,0.249
player00344,1997,ATL,NL,22,246,114,158,52,73,55,41,0.642
player00345,1997,LAD,AL,110,385,114,113,17,35,40,38,0.294
player00346,1990,HOU,AL,95,37,134,22,26,26,39,158,0.595
player00347,1992,ATL,AL,43,243,24,128,59,10,22,158,0.527
player00348,1989,CHC,AL,79,518,36,168,7,10,60,164,0.324
player00349,1991,BOS,NL,21,359,120,89,37,12,14,198,0.248
player00350,1998,ATL,AL,123,393,139,35,42,47,91,24,0.089
player00351,2005,BOS,AL,8,76,55,184,44,8,0,97,2.421
player00352,2000,BOS,AL,49,442,79,34,53,79,81,11,0.077
player00353,1988,ATL,NL,125,36,107,49,45,48,48,158,1.361
player00354,1993,LAD,NL,106,408,124,110,41,16,72,44,0.27
player00355,2005,ATL,AL,134,349,25,52,44,36,65,165,0.149
player00356,2001,NYY,NL,81,577,56,194,51,64,49,189,0.336
player00357,1998,HOU,AL,104,260,141,179,0,1,76,142,0.688
player00358,2003,BOS,NL,109,462,69,169,56,18,13,193,0.366
player00359,1995,HOU,AL,125,553,40,148,34,29,72,159,0.268
player00360,2004,CHC,AL,92,447,50,157,55,71,25,85,0.351
player00361,2002,BOS,NL,121,48,106,62,13,3,95,140,1.292
player00362,2004,CHC,AL,111,70,11,37,6,16,2,117,0.529
player00363,1990,NYY,AL,23,245,96,41,1,7,17,170,0.167
player00364,1994,NYY,NL,159,1,108,121,6,16,84,10,121.0
player00365,1997,HOU,AL,110,61,0,93,6,17,30,149,1.525
player00366,1986,NYY,AL,75,538,146,25,4,31,87,181,0.046
player00367,1986,ATL,AL,62,341,86,5,58,13,33,180,0.015
player00368,2000,BOS,NL,96,66,71,134,50,65,41,194,2.03
player00369,1987,CHC,NL,57,377,125,126,50,61,68,45,0.334
player00370,2001,HOU,AL,102,56,3,92,51,39,62,41,1.643
player00371,1993,HOU,NL,70,285,135,147,46,42,31,194,0.516
player00372,1998,NYY,AL,65,455,26,133,39,61,84,17,0.292
player00373,1986,NYY,NL,37,454,25,177,7,3,26,196,0.39
player00374,2001,CHC,NL,68,192,96,26,22,57,96,27,0.135
player00375,1992,BOS,NL,75,504,42,79,53,71,2,104,0.157
player00376,1990,BOS,AL,17,121,103,175,30,25,82,103,1.446
player00377,1988,HOU,NL,135,478,108,160,18,38,0,97,0.335
player00378,1997,CHC,AL,52,102,39,84,57,23,67,173,0.824
player00379,2001,HOU,AL,130,585,28,181,27,24,57,163,0.309
player00380,2004,LAD,NL,37,353,84,103,24,19,90,167,0.292
player00381,1990,BOS,AL,57,174,116,128,56,41,54,17,0.736
player00382,1999,CHC,NL,101,13,125,153,32,68,86,155,11.769
player00383,1990,CHC,AL,10,566,17,115,37,5,67,2,0.203
player00384,2000,HOU,AL,81,469,80,117,30,42,19,139,0.249
player00385,2002,NYY,AL,90,25,148,80,6,26,11,98,3.2
player00386,1999,CHC,NL,133,43,61,191,57,48,63,142,4.442
player00387,2005,HOU,AL,133,580,95,59,29,53,94,29,0.102
player00388,1990,ATL,NL,120,37,105,14,17,44,72,50,0.378
player00389,1997,NYY,AL,102,523,25,149,11,45,76,33,0.285
player00390,2001,NYY,AL,27,104,136,25,56,73,33,108,0.24
player00391,2001,BOS,AL,5,363,90,136,55,48,96,143,0.375
player00392,1992,LAD,AL,61,489,122,32,3,42,39,162,0.065
player00393,1989,BOS,NL,136,272,139,59,24,16,45,25,0.217
player00394,1986,ATL,AL,159,87,15,186,24,63,29,195,2.138
player00395,1990,HOU,AL,97,338,46,10,48,33,46,56,0.03
player00396,1995,NYY,AL,149,325,55,146,13,2,45,66,0.449
player00397,1990,NYY,AL,21,598,65,148,0,79,21,28,0.247
player00398,1989,CHC,NL,51,366,50,169,14,65,6,190,0.462
player00399,1987,LAD,AL,79,121,26,1,35,48,35,43,0.008
player00400,2005,LAD,NL,59,558,109,10,13,35,80,34,0.018
player00401,1995,CHC,AL,2,319,65,178,38,30,8,24,0.558
player00402,2004,ATL,NL,158,364,61,190,9,16,42,17,0.522
player00403,1986,LAD,NL,58,302,70,131,56,49,3,54,0.434
player00404,1990,NYY,AL,20,74,135,135,10,31,37,56,1.824
player00405,1998,ATL,NL,157,450,5,46,52,73,27,8,0.102
player00406,1989,BOS,AL,133,380,119,8,15,66,95,47,0.021
player00407,2001,BOS,AL,89,297,58,169,49,37,81,189,0.569
player00408,2001,ATL,NL,138,304,18,169,54,70,68,82,0.556
